# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
0.001	-2	4	1	1	100000	58
0.1	-2	4	1	1	100000	59
0.2	-2	4	1	1	100000	60
0.3	-1.99999999997631	3.99999999990424	0.999999999994078	0.999999999987155	100000	61
0.4	-1.99999998275431	3.99999993101696	0.999999995688577	0.999999991376237	100000	62
0.5	-1.99999910357369	3.99999641430216	0.999999775807204	0.999999551613961	100000	63
0.6	-1.99998697862267	3.99994791476409	0.999996740475026	0.999993480966721	100000	64
0.7	-1.99991204110068	3.99964817284605	0.999977936125252	0.99995587278121	100000	65
0.8	-1.99962921864816	3.99851701505713	0.999906657808988	0.99981332452131	100000	66
0.81	-1.99958005396353	3.99832039560056	0.999894231575265	0.999788474554971	100000	67
0.82	-1.99952578799693	3.9981033807079	0.999880510592052	0.999761035708398	100000	68
0.83	-1.99946564878408	3.99786288499749	0.999865288475415	0.999730595376078	100000	69
0.84	-1.99940000956291	3.99760040308893	0.999848664050172	0.999697351315587	100000	70
0.85	-1.99932778863248	3.99731161183965	0.99983035386	0.999660736850931	100000	71
0.86	-1.99924914754805	3.99699716006841	0.999810406685573	0.999620849710778	100000	72
0.87	-1.9991625310223	3.99665083225047	0.999788409665247	0.999576864542249	100000	73
0.88	-1.99906878815975	3.99627602737722	0.999764590055775	0.999529236021757	100000	74
0.89	-1.99896688736674	3.99586862520941	0.99973866878055	0.999477406403388	100000	75
0.9	-1.99885623816463	3.99542627017191	0.999710498619538	0.99942108165856	100000	76
0.91	-1.99873675208228	3.99494861441392	0.999680040406897	0.999360183860904	100000	77
0.92	-1.99860726452956	3.99443100918124	0.999647000994379	0.999294127341485	100000	78
0.93	-1.9984679798835	3.99387427909897	0.999611434437108	0.999223020677729	100000	79
0.94	-1.99831794764991	3.99327463364774	0.999573068054092	0.999146319285285	100000	80
0.95	-1.99815657956627	3.99262973153905	0.999531761187385	0.999063742618991	100000	81
0.96	-1.99798326674138	3.991937150709	0.999487351583486	0.998974967071589	100000	82
0.97	-1.99779765387403	3.99119548392351	0.99943972650838	0.998879768126482	100000	83
0.98	-1.99759881030111	3.99040102662579	0.999388642136962	0.998777659346953	100000	84
0.99	-1.99738651398064	3.98955290772975	0.999334041869691	0.998668528678123	100000	85
1	-1.99716064686504	3.988650672741	0.999275866756154	0.998552259448577	100000	86
1.01	-1.99691852439766	3.98768361841738	0.999213418261563	0.998427456938856	100000	87
1.02	-1.99666238890081	3.9866607227913	0.999147269432165	0.998295267873696	100000	88
1.03	-1.99638962071176	3.98557154750646	0.999076726619843	0.998154307695309	100000	89
1.04	-1.99609942561812	3.98441294928332	0.999001564464426	0.998004128002301	100000	90
1.05	-1.99579181486716	3.98318500312862	0.998921776799259	0.997844718542796	100000	91
1.06	-1.99546740841281	3.98189021573445	0.998837494444299	0.997676342891152	100000	92
1.07	-1.9951223469735	3.98051321997427	0.998747708767082	0.997496988558114	100000	93
1.08	-1.99475896219321	3.9790633608962	0.998653020305585	0.997307857980131	100000	94
1.09	-1.9943742022794	3.97752850570455	0.998552555608035	0.997107209569087	100000	95
1.1	-1.99396859869333	3.97591082282398	0.998446496587037	0.996895410045375	100000	96
1.11	-1.99354205345185	3.97420997281243	0.998334758676731	0.996672294153167	100000	97
1.12	-1.99309301830959	3.97241983750123	0.99821688933388	0.996436962216487	100000	98
